airline,Customer Experience,Feature,Maintenance,Network Expansion
AirAsia,100.0,0.0,0.0,0.0
JAL,8.0,4.0,88.0,0.0
Scoot,28.000000000000004,28.000000000000004,44.0,0.0
ZIPAIR,8.0,4.0,72.0,16.0
